,weekly_offers_links
39,https://www.alsoouq.com/saudi-arabia-electronics/mobile-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%ac%d9%88%d8%a7%d9%84%d8%a7%d8%aa-%d9%85%d9%86-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-30-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85.html
40,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-29-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-11-1443-%d8%b9%d8%b1%d9%88%d8%b6-4-%d8%a3%d9%8a%d8%a7%d9%85.html
41,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-29-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-30-%d8%b0.html
42,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-27-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-28-%d8%b0%d9%88-%d8%a7%d9%84%d9%82.html
43,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-28-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html
44,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-26-6-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-27-11-1443-%d8%b9%d8%b1%d9%88%d8%b6-3-%d8%a3%d9%8a%d8%a7%d9%85.html
45,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-23-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-24-%d8%b0%d9%88-%d8%a7%d9%84%d9%82.html
46,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-22-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-23-%d8%b0.html
47,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d8%a3%d8%b3%d8%a8%d9%88%d8%b9%d9%8a%d8%a9-%d8%aa%d8%b3%d8%b1%d9%8a-%d8%ad%d8%aa%d9%89-21-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84.html
48,https://www.alsoouq.com/saudi-arabia-offers/panda-offers/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a8%d9%86%d8%af%d9%87-%d8%a7%d9%84%d9%8a%d9%88%d9%85-19-%d9%8a%d9%88%d9%86%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-20-%d8%b0%d9%88-%d8%a7%d9%84%d9%82.html
