img_link,image_page_number,booklet_name,booklet_link,img_name,img_name.1,img_name
https://www.alsoouq.com//uploads/2022/07/5462959033.JPEG,4.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,5462959033.JPEG,5462959033.JPEG,5462959033.JPEG
https://www.alsoouq.com//uploads/2022/07/6150942392.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,6150942392.JPEG,6150942392.JPEG,6150942392.JPEG
https://www.alsoouq.com//uploads/2022/07/1648695534.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,1648695534.JPEG,1648695534.JPEG,1648695534.JPEG
https://www.alsoouq.com//uploads/2022/07/5967243621.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,5967243621.JPEG,5967243621.JPEG,5967243621.JPEG
https://www.alsoouq.com//uploads/2022/07/5042068864.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,5042068864.JPEG,5042068864.JPEG,5042068864.JPEG
https://www.alsoouq.com//uploads/2022/07/1470582364.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,1470582364.JPEG,1470582364.JPEG,1470582364.JPEG
https://www.alsoouq.com//uploads/2022/07/356333695.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,356333695.JPEG,356333695.JPEG,356333695.JPEG
https://www.alsoouq.com//uploads/2022/07/5298529963.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,5298529963.JPEG,5298529963.JPEG,5298529963.JPEG
https://www.alsoouq.com//uploads/2022/07/8091220374.JPEG,5.0,عروض العثيم اليوم 28 يوليو 2022 الموافق 29 ذو الحجة 1443 عروض بالجملة الاوفر & عروض الويكند,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-28-%d9%8a%d9%88%d9%84%d9%8a%d9%88-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-29-%d8%b0%d9%88-%d8%a7.html,8091220374.JPEG,8091220374.JPEG,8091220374.JPEG
https://www.alsoouq.com//uploads/2022/07/5773574458.jpg,1.0,عروض العثيم اليوم الاثنين 25-7-2022 الموافق 26-12-1443 مهرجان الطازج & كيلو عليك وكيلو علينا,https://www.alsoouq.com/saudi-arabia-offers/offers-othaim/%d8%b9%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%b9%d8%ab%d9%8a%d9%85-%d8%a7%d9%84%d9%8a%d9%88%d9%85-%d8%a7%d9%84%d8%a7%d8%ab%d9%86%d9%8a%d9%86-25-7-2022-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d9%81%d9%82-26-12-1443.html,5773574458.jpg,,5773574458.jpg
